Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0152314,0.0101787,-0.00771923,-0.161743,-0.0641119,0.22203
0.0147316,0.011179,-0.00771923,-0.209239,-0.00127389,0.198088
0.014731,0.0106785,-0.00771923,-0.201493,-0.0252483,0.198754
0.014228,0.0101761,-0.00771923,-0.210485,-0.031375,0.170663
0.0147302,0.0101778,-0.00771923,-0.190419,-0.047166,0.198886
0.014729,0.00967647,-0.00771923,-0.174384,-0.0711296,0.19726
0.0142264,0.0096746,-0.00771923,-0.19429,-0.0513968,0.171169
0.0212601,0.00664146,-0.00771923,0.0782164,-0.188421,0.0687926
0.0217484,0.00816213,-0.00771923,0.110327,-0.196537,0.113134
0.021757,0.00765311,-0.00771923,0.0992735,-0.19808,0.0899041
0.0222668,0.00764342,-0.00771923,0.100988,-0.178214,0.0852134
0.0222527,0.00815748,-0.00771923,0.115141,-0.17968,0.107308
0.0212538,0.00715451,-0.00771923,0.0873886,-0.206794,0.0779748
0.019233,0.00917945,-0.00771923,0.0626668,-0.185957,0.208487
0.0197335,0.00917897,-0.00771923,0.0794397,-0.190946,0.197265
0.0192333,0.00867907,-0.00771923,0.0700959,-0.215635,0.184436
0.019734,0.0086783,-0.00771923,0.0844153,-0.218993,0.167787
0.0192336,0.00817848,-0.00771923,0.0743018,-0.236232,0.160591
0.0197347,0.0081774,-0.00771923,0.0868324,-0.237073,0.141383
0.0202353,0.00867702,-0.00771923,0.0936147,-0.216726,0.159202
0.0202364,0.00817568,-0.00771923,0.0930256,-0.232686,0.131428
0.0187329,0.00867942,-0.00771923,0.0503513,-0.210107,0.198534
0.018733,0.00817902,-0.00771923,0.056082,-0.233393,0.176182
0.0182326,0.00817921,-0.00771923,0.0332451,-0.229716,0.185441
0.0182326,0.00867955,-0.00771923,0.0268674,-0.204861,0.205334
0.0207447,0.00716521,-0.00771923,0.0862561,-0.223193,0.0822494
0.020238,0.00767368,-0.00771923,0.0894111,-0.239406,0.105135
0.02075,0.00665565,-0.00771923,0.0797152,-0.207455,0.0717935
0.0131852,0.0076332,-0.00771923,-0.108904,-0.0668079,0.112996
0.0132004,0.0081496,-0.00771923,-0.129987,-0.0553839,0.122893
0.0187331,0.00767822,-0.00771923,0.0597065,-0.24679,0.146001
0.019234,0.00767751,-0.00771923,0.0755008,-0.247479,0.131319
0.0187336,0.00717708,-0.00771923,0.0612421,-0.247845,0.120373
0.0192349,0.00717614,-0.00771923,0.0745088,-0.246715,0.107831
0.0197356,0.007676,-0.00771923,0.08566,-0.245455,0.113814
0.0182326,0.00767845,-0.00771923,0.0384307,-0.244957,0.157057
0.0182326,0.00717739,-0.00771923,0.042059,-0.247974,0.131855
0.0192378,0.00667326,-0.00771923,0.0726125,-0.237363,0.0891693
0.0187357,0.00667524,-0.00771923,0.0616455,-0.240421,0.0983102
0.0167312,0.0086783,-0.00771923,-0.0454659,-0.183196,0.199165
0.0172319,0.00867907,-0.00771923,-0.0230633,-0.191534,0.205031
0.0167305,0.0081774,-0.00771923,-0.0381759,-0.206797,0.180385
0.0172316,0.00817848,-0.00771923,-0.0166327,-0.216526,0.186932
0.0167317,0.00917897,-0.00771923,-0.0527657,-0.154869,0.214373
0.0172322,0.00917945,-0.00771923,-0.029302,-0.161297,0.218904
0.0167321,0.00967941,-0.00771923,-0.0594501,-0.125085,0.222789
0.0172324,0.00967966,-0.00771923,-0.0350011,-0.129472,0.225512
0.0167324,0.0101797,-0.00771923,-0.0661251,-0.0955471,0.227336
0.0172325,0.0101798,-0.00771923,-0.0404369,-0.0984166,0.227671
0.0177325,0.00967978,-0.00771923,-0.0113333,-0.131728,0.2277
0.0177326,0.0101799,-0.00771923,-0.0166777,-0.0992876,0.227852
0.0177324,0.00917966,-0.00771923,-0.00501166,-0.165513,0.222344
0.0182326,0.00917974,-0.00771923,0.0186511,-0.173015,0.220813
