Points_0,Points_1,Points_2,U_0,U_1,U_2
0.0241581,0.00854255,-0.00771923,0.159578,-0.111183,0.081194
0.0238564,0.00819864,-0.00771923,0.149741,-0.116716,0.0992238
0.0238834,0.00885066,-0.00771923,0.185722,-0.125442,0.0981819
0.0238839,0.00909405,-0.00771923,0.195668,-0.125618,0.105883
0.0245007,0.00900946,-0.00771923,0.148027,-0.0857149,0.0763716
0.0244038,0.00960221,-0.00771923,0.196613,-0.0897896,0.106599
0.0245858,0.00960085,-0.00771923,0.189187,-0.0789696,0.102019
0.0235527,0.00860638,-0.00771923,0.169242,-0.137063,0.0993718
0.0233322,0.00861921,-0.00771923,0.167566,-0.144394,0.105847
0.0233356,0.00912485,-0.00771923,0.186074,-0.141005,0.125248
0.0233203,0.00811371,-0.00771923,0.136882,-0.134782,0.104195
0.0231419,0.0086263,-0.00771923,0.171657,-0.155457,0.109986
0.0228036,0.00812507,-0.00771923,0.15683,-0.179123,0.108215
0.0228024,0.0082801,-0.00771923,0.163243,-0.179122,0.111079
0.0224632,0.008645,-0.00771923,0.168078,-0.185915,0.13227
0.0227997,0.00914575,-0.00771923,0.204541,-0.172972,0.149748
0.0227998,0.00895856,-0.00771923,0.196051,-0.174552,0.139444
0.022284,0.00864797,-0.00771923,0.163236,-0.189977,0.13852
0.0222833,0.00915458,-0.00771923,0.180208,-0.181449,0.166253
0.0222894,0.0081329,-0.00771923,0.135934,-0.184331,0.118829
0.0224133,0.0076177,-0.00771923,0.117003,-0.179482,0.0933962
0.0228054,0.00798543,-0.00771923,0.149736,-0.178093,0.1029
0.0222916,0.00762036,-0.00771923,0.114373,-0.180733,0.0953829
0.0233164,0.00759974,-0.00771923,0.118331,-0.141753,0.100176
0.0233548,0.00759957,-0.00771923,0.117718,-0.139406,0.100832
0.0248501,0.011167,-0.00771923,0.244679,-0.041852,0.0882975
0.0252724,0.0106781,-0.00771923,0.208898,-0.0382785,0.0937311
0.0248498,0.011179,-0.00771923,0.245147,-0.0418113,0.088406
0.0254284,0.0111993,-0.00771923,0.21263,-0.0316172,0.0874282
0.0244601,0.0106588,-0.00771923,0.235166,-0.0607419,0.106951
0.0243395,0.0106578,-0.00771923,0.238889,-0.0652026,0.113004
0.0243258,0.0111736,-0.00771923,0.231548,-0.0513971,0.113188
0.0248892,0.0102436,-0.00771923,0.193423,-0.0450887,0.0876061
0.024895,0.0101409,-0.00771923,0.187343,-0.0454192,0.0887028
0.0243676,0.010137,-0.00771923,0.200092,-0.0709053,0.108678
0.0146766,0.017051,-0.00771923,-0.193657,0.211344,0.175854
0.0151953,0.0167419,-0.00771923,-0.186558,0.22073,0.223716
0.0150081,0.0167441,-0.00771923,-0.19409,0.2169,0.211763
0.0146716,0.0172672,-0.00771923,-0.183649,0.211986,0.167968
0.0151869,0.0172569,-0.00771923,-0.153552,0.21035,0.18516
0.0141211,0.0183308,-0.00771923,-0.129281,0.167626,0.106527
0.013597,0.0180314,-0.00771923,-0.144974,0.154146,0.0925869
0.0141331,0.0178067,-0.00771923,-0.14914,0.176346,0.115029
0.0138123,0.0178199,-0.00771923,-0.152219,0.165467,0.103299
0.0134211,0.0178318,-0.00771923,-0.149886,0.144543,0.0916843
0.0130771,0.0178395,-0.00771923,-0.140741,0.122293,0.0872637
0.0136248,0.0172997,-0.00771923,-0.180269,0.158218,0.115207
0.0136119,0.0176248,-0.00771923,-0.16537,0.157952,0.103249
0.0141469,0.0172853,-0.00771923,-0.173723,0.173171,0.142365
0.0130983,0.0173099,-0.00771923,-0.167444,0.122412,0.102519
0.0127192,0.0178401,-0.00771923,-0.141132,0.107572,0.0796174
0.0125646,0.0173175,-0.00771923,-0.169973,0.102403,0.0848943
0.0125564,0.0176678,-0.00771923,-0.152125,0.100745,0.0789126
0.0123959,0.0178514,-0.00771923,-0.135418,0.0962217,0.0721504
0.0125335,0.0180041,-0.00771923,-0.137211,0.0969072,0.0723519
0.0197397,0.0122432,-0.00771923,0.0855053,-0.0525549,0.321649
0.0192366,0.0126983,-0.00771923,0.0601752,-0.0319069,0.308173
0.0192647,0.0126983,-0.00771923,0.0612124,-0.0317532,0.3084
0.0197398,0.0121955,-0.00771923,0.085947,-0.054773,0.322282
0.0192376,0.0121956,-0.00771923,0.0590848,-0.0529947,0.314977
0.0197388,0.0131651,-0.00771923,0.0791503,0.00693938,0.322978
0.0202424,0.0126979,-0.00771923,0.121329,-0.0219045,0.318327
0.0201888,0.012698,-0.00771923,0.117556,-0.0224995,0.317959
0.0197388,0.0132003,-0.00771923,0.0790367,0.00925508,0.323541
0.0202429,0.0132003,-0.00771923,0.119475,0.00595261,0.323737
0.0201924,0.0137028,-0.00771923,0.116651,0.0421664,0.320263
0.0197388,0.0132354,-0.00771923,0.0790491,0.0115807,0.323179
0.0202421,0.0137028,-0.00771923,0.120204,0.0417058,0.320504
0.020746,0.0132719,-0.00771923,0.17677,0.0151759,0.343518
0.0202949,0.0137028,-0.00771923,0.125431,0.0416414,0.321832
0.0207461,0.0132004,-0.00771923,0.176752,0.0114315,0.344492
0.0192369,0.0132003,-0.00771923,0.058769,0.0038354,0.313342
0.0187344,0.0131832,-0.00771923,0.0457978,0.00829506,0.320898
0.0192093,0.0126984,-0.00771923,0.0594399,-0.032164,0.308392
0.0187344,0.0132004,-0.00771923,0.0457917,0.00968986,0.321113
0.0192123,0.0137023,-0.00771923,0.0581169,0.0504228,0.310154
0.0187344,0.0132175,-0.00771923,0.0457651,0.0110934,0.320911
0.0192365,0.0137023,-0.00771923,0.0587533,0.0501296,0.310015
0.0182326,0.0137021,-0.00771923,-0.000752121,0.0547503,0.307946
0.0182483,0.0137021,-0.00771923,0.000468297,0.0548307,0.308093
0.0182326,0.0132003,-0.00771923,-0.000712331,0.0034039,0.311684
0.0182512,0.0126986,-0.00771923,0.000815666,-0.0358593,0.307668
0.0182326,0.0126986,-0.00771923,-0.000659982,-0.035788,0.307496
0.0187348,0.0121964,-0.00771923,0.0396097,-0.0527949,0.324729
0.0187347,0.0122249,-0.00771923,0.0398896,-0.0520134,0.324184
0.0182326,0.012196,-0.00771923,-0.000910153,-0.0501936,0.315987
0.0182717,0.0116942,-0.00771923,0.0011751,-0.0631455,0.31445
0.0187348,0.012167,-0.00771923,0.0392496,-0.0536026,0.324487
0.0182326,0.0116941,-0.00771923,-0.00111373,-0.0628416,0.314082
0.0197416,0.0112669,-0.00771923,0.0923943,-0.117924,0.329708
0.0192378,0.0116935,-0.00771923,0.0584992,-0.0706728,0.311486
0.0192882,0.0116935,-0.00771923,0.0613745,-0.0715315,0.311642
0.0197419,0.0111894,-0.00771923,0.0925903,-0.123692,0.331901
0.019239,0.0111895,-0.00771923,0.0572334,-0.119324,0.32535
0.0197398,0.0121461,-0.00771923,0.0863586,-0.0570792,0.321585
0.0202445,0.011692,-0.00771923,0.125706,-0.0809117,0.314752
0.0201672,0.0116922,-0.00771923,0.120992,-0.0809009,0.314745
0.0202441,0.0121946,-0.00771923,0.123016,-0.0543258,0.321115
0.019189,0.0116936,-0.00771923,0.0562135,-0.0703701,0.312207
0.0187355,0.011191,-0.00771923,0.0291926,-0.118293,0.336712
0.0187354,0.011247,-0.00771923,0.029484,-0.113387,0.335244
0.0182326,0.0111903,-0.00771923,-0.000933442,-0.11653,0.327163
0.0183084,0.0106878,-0.00771923,0.00295148,-0.162954,0.329555
0.0187355,0.0111316,-0.00771923,0.0289426,-0.123833,0.33662
0.0182326,0.0106877,-0.00771923,-0.00074276,-0.161776,0.328607
0.0211023,0.0106818,-0.00771923,0.189064,-0.161442,0.304446
0.0207537,0.010178,-0.00771923,0.164507,-0.192529,0.295296
0.020753,0.0103326,-0.00771923,0.166149,-0.185063,0.300737
0.0212583,0.0106811,-0.00771923,0.196479,-0.159528,0.300401
0.0212609,0.0101751,-0.00771923,0.177012,-0.176148,0.263048
0.0202476,0.0106841,-0.00771923,0.125539,-0.158443,0.315883
0.0203719,0.010684,-0.00771923,0.13542,-0.160079,0.315257
0.0202497,0.0101785,-0.00771923,0.118917,-0.184225,0.297979
0.0207505,0.011187,-0.00771923,0.172546,-0.127577,0.3288
0.0207506,0.0110625,-0.00771923,0.172033,-0.13628,0.325494
0.0202468,0.0111874,-0.00771923,0.124316,-0.122515,0.320132
